"filename", "language", "Properties", "Markdown", "SQLite", "JSON", "JSON with Comments", "JavaScript", "PHP", "PostCSS", "XML", "Docker", "TypeScript", "YAML", "comment", "blank", "total"
"d:\Aplikasi\VSCode\Perpustakaan - WHN\frontend\config\session.php", "PHP", 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 160, 35, 218
"d:\Aplikasi\VSCode\Perpustakaan - WHN\frontend\database\factories\UserFactory.php", "PHP", 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 14, 6, 45
"d:\Aplikasi\VSCode\Perpustakaan - WHN\frontend\database\seeders\DatabaseSeeder.php", "PHP", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 5, 5, 24
"d:\Aplikasi\VSCode\Perpustakaan - WHN\frontend\package-lock.json", "JSON", 0, 0, 0, 2651, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2652
"d:\Aplikasi\VSCode\Perpustakaan - WHN\frontend\package.json", "JSON", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"d:\Aplikasi\VSCode\Perpustakaan - WHN\frontend\phpunit.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 1, 35
"d:\Aplikasi\VSCode\Perpustakaan - WHN\frontend\public\DAplikasiVSCodePerpustakaan - WHNfrontendstorageframeworkviews\187f828346b000af3c7029fb05171792.php", "PHP", 0, 0, 0, 0, 0, 0, 107, 0, 0, 0, 0, 0, 0, 3, 110
"d:\Aplikasi\VSCode\Perpustakaan - WHN\frontend\public\DAplikasiVSCodePerpustakaan - WHNfrontendstorageframeworkviews\1b38c7ca485dad804641aa52cbb02c57.php", "PHP", 0, 0, 0, 0, 0, 0, 172, 0, 0, 0, 0, 0, 0, 14, 186
"d:\Aplikasi\VSCode\Perpustakaan - WHN\frontend\public\DAplikasiVSCodePerpustakaan - WHNfrontendstorageframeworkviews\1f01f63bfde5399b503525700dccfacb.php", "PHP", 0, 0, 0, 0, 0, 0, 183, 0, 0, 0, 0, 0, 0, 11, 194
"d:\Aplikasi\VSCode\Perpustakaan - WHN\frontend\public\DAplikasiVSCodePerpustakaan - WHNfrontendstorageframeworkviews\32b20c62cb6b20693d1fa7a678d9d9c1.php", "PHP", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 1, 12
"d:\Aplikasi\VSCode\Perpustakaan - WHN\frontend\public\DAplikasiVSCodePerpustakaan - WHNfrontendstorageframeworkviews\3a4287aed945b1785c4c7f46181cb68b.php", "PHP", 0, 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 3, 49
"d:\Aplikasi\VSCode\Perpustakaan - WHN\frontend\public\DAplikasiVSCodePerpustakaan - WHNfrontendstorageframeworkviews\410027ebf47c55a7dbcb71bcde6426d5.php", "PHP", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 4
"d:\Aplikasi\VSCode\Perpustakaan - WHN\frontend\public\DAplikasiVSCodePerpustakaan - WHNfrontendstorageframeworkviews\5c3b6fa39746f5211a541fa628954dd5.php", "PHP", 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 2, 33
"d:\Aplikasi\VSCode\Perpustakaan - WHN\frontend\public\DAplikasiVSCodePerpustakaan - WHNfrontendstorageframeworkviews\6676b3c448ba8089a9e13967158d946c.php", "PHP", 0, 0, 0, 0, 0, 0, 70, 0, 0, 0, 0, 0, 0, 0, 70
